iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,duration_hours,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength
1,2024-01-28 18:00:00,short,42145.34,41983.29,43014.29,0.024828,2.98,0.5,10002.98,Sell,PartialExit_14pct,True,25.12,22.94,-44.223334,-54.916341,0.02,neutral,0.42
1,2024-01-28 19:00:00,short,42145.34,41972.17,43014.29,0.147586,19.35,1.5,10022.33,Sell,QuickProfitTaken,False,25.12,25.32,-44.223334,-59.237379,0.02,neutral,0.42
1,2024-01-29 12:00:00,long,42214.69,42209.35,41626.53,0.051512,-2.45,6.5,10019.87,StrongBuy,SmallProfitLongTimeBasedExit,False,62.47,51.83,19.842542,9.297565,0.04,ranging_at_resistance,0.75
1,2024-02-01 17:00:00,long,42527.09,43062.47,41672.22,0.035123,17.3,0.5,10037.17,StrongBuy,PartialExit_18pct,True,64.09,69.68,64.893207,88.597836,-0.01,neutral,0.53
1,2024-02-01 18:00:00,long,42527.09,42895.98,41672.22,0.160006,52.19,1.5,10089.36,StrongBuy,QuickProfitTaken,False,64.09,65.48,64.893207,82.34609,-0.01,neutral,0.53
1,2024-02-03 11:00:00,short,43058.74,42996.69,43257.81,0.027966,0.53,1.0,10089.89,StrongSell,PartialExit_14pct,True,43.05,33.14,-10.28374,-13.095949,0.02,ranging_at_resistance,0.75
1,2024-02-03 18:30:00,short,43058.74,43069.58,43257.81,0.166239,-8.96,8.5,10080.93,StrongSell,SmallProfitLongTimeBasedExit,False,43.05,57.18,-10.28374,10.293213,0.02,ranging_at_resistance,0.75
1,2024-02-04 04:00:00,short,43011.53,42920.06,43390.86,0.02797,1.36,6.0,10082.29,StrongSell,PartialExit_14pct,True,44.91,36.2,-5.646125,-4.101711,0.02,ranging_at_support,0.49
1,2024-02-04 04:30:00,short,43011.53,42916.42,43390.86,0.166268,8.67,6.5,10090.96,StrongSell,SmallProfitLongTimeBasedExit,False,44.91,36.27,-5.646125,-7.872402,0.02,ranging_at_support,0.49
1,2024-02-05 20:00:00,short,42692.53,42436.66,43303.97,0.195905,41.79,2.0,10132.74,StrongSell,QuickProfitTaken,False,35.84,24.73,-72.699338,-51.344018,0.01,neutral,0.53
1,2024-02-06 15:00:00,long,42808.62,43163.08,42135.5,0.196272,61.13,3.5,10193.87,StrongBuy,QuickProfitTaken,False,50.32,62.77,-6.933771,17.356228,0.02,ranging_at_support,0.45
