iteration,date,direction,entry_price,exit_price,stop_loss,position_size,pnl,balance,signal,exit_reason,is_partial,entry_rsi_14,exit_rsi_14,entry_macd_histogram,exit_macd_histogram,ensemble_score,market_phase,trend_strength,duration_hours
1,2024-09-16 12:00:00,short,58689.73,58602.69,59130.25,0.170388,6.29,10006.29,Sell,StagnantExit,False,78.86,57.24,0.0,0.0,0.65,strong_downtrend,0.5,5.5
1,2024-09-16 14:30:00,short,58450.42,57604.72,58673.34,0.171193,136.28,10142.57,Sell,ProfitTarget,False,63.53,64.92,0.0,0.0,0.61,ranging,0.5,0.5
1,2024-09-16 17:30:00,short,57882.06,58129.71,58105.42,0.175228,-52.09,10090.48,Sell,StopLoss,False,71.14,66.33,0.0,0.0,0.57,ranging,0.5,2.0
1,2024-09-16 23:00:00,short,57731.01,58013.64,57989.4,0.174784,-58.05,10032.43,Sell,StopLoss,False,47.35,45.59,0.0,0.0,0.58,ranging,0.5,4.5
1,2024-09-17 00:30:00,long,58208.63,57939.52,57963.74,0.172353,-54.94,9977.49,Buy,StopLoss,False,49.75,45.56,0.0,0.0,0.57,ranging,0.5,0.5
1,2024-09-17 04:30:00,long,57824.91,58198.57,57588.16,0.043137,13.87,9991.35,StrongBuy,PartialExit_25pct,True,52.52,47.45,0.0,0.0,0.78,neutral,0.5,3.0
1,2024-09-17 05:00:00,long,57824.91,58318.88,57588.16,0.12941,57.5,10048.85,StrongBuy,QuickProfit,False,52.52,56.63,0.0,0.0,0.78,neutral,0.5,3.5
1,2024-09-17 09:30:00,short,58587.3,58856.97,58832.38,0.171283,-54.79,9994.06,StrongSell,StopLoss,False,32.86,33.91,0.0,0.0,0.78,neutral,0.5,3.5
1,2024-09-17 14:00:00,short,59177.69,59453.39,59428.55,0.168648,-55.05,9939.01,StrongSell,StopLoss,False,73.36,73.08,0.0,0.0,0.78,neutral,0.5,3.0
1,2024-09-17 15:30:00,short,60225.71,60675.94,60650.59,0.164799,-82.72,9856.29,Sell,StopLoss,False,74.62,74.22,0.0,0.0,0.65,weak_uptrend,0.5,0.5
1,2024-09-17 19:00:00,short,60878.97,60416.07,61321.33,0.161672,66.45,9922.74,Sell,QuickProfit,False,70.45,57.83,0.0,0.0,0.65,weak_uptrend,0.5,2.5
1,2024-09-17 20:30:00,short,60378.26,60103.48,60760.63,0.164113,36.64,9959.38,StrongSell,ProfitTarget,False,57.64,54.08,0.0,0.0,0.78,weak_uptrend,0.5,1.0
1,2024-09-18 03:00:00,short,60065.97,60442.12,60416.87,0.165577,-70.81,9888.57,StrongSell,StopLoss,False,58.74,77.16,0.0,0.0,0.78,weak_uptrend,0.5,6.0
1,2024-09-18 09:30:00,short,60194.48,59647.66,60926.32,0.064766,32.09,9920.66,Sell,ProfitTarget,False,77.7,65.75,0.0,0.0,0.56,ranging,0.5,3.5
1,2024-09-18 16:00:00,short,59635.68,59676.87,60223.97,0.080831,-7.45,9913.21,Sell,StagnantExit,False,69.78,21.36,0.0,0.0,0.55,ranging,0.5,5.5
1,2024-09-18 18:00:00,short,59861.44,60279.72,60254.54,0.165371,-77.67,9835.54,StrongSell,StopLoss,False,32.47,34.36,0.0,0.0,0.78,neutral,0.5,1.0
1,2024-09-18 19:30:00,short,60565.62,60040.57,61087.82,0.090279,42.74,9878.29,Sell,ProfitTarget,False,43.75,57.22,0.0,0.0,0.57,ranging,0.5,0.5
1,2024-09-18 22:00:00,short,60001.92,60558.41,60533.11,0.089138,-54.2,9824.09,Sell,StopLoss,False,62.31,69.32,0.0,0.0,0.52,ranging,0.5,2.0
1,2024-09-18 23:30:00,short,60632.27,61355.38,61329.75,0.067513,-52.34,9771.75,Sell,StopLoss,False,64.4,57.55,0.0,0.0,0.56,ranging,0.5,0.5
1,2024-09-19 01:00:00,short,62189.5,61740.32,62925.44,0.106071,42.02,9813.77,Sell,ProfitTarget,False,64.21,57.15,0.0,0.0,0.65,neutral,0.5,0.5
1,2024-09-19 08:30:00,short,61700.77,61922.67,62344.77,0.073042,-20.07,9793.7,Sell,StagnantExit,False,57.17,46.05,0.0,0.0,0.54,ranging,0.5,7.0
1,2024-09-19 10:00:00,short,61883.81,62301.69,62275.66,0.158035,-74.43,9719.27,Sell,StopLoss,False,59.72,52.0,0.0,0.0,0.65,weak_uptrend,0.5,1.0
1,2024-09-19 11:30:00,long,62308.23,62587.85,61984.97,0.155764,35.24,9754.51,Buy,ProfitTarget,False,35.39,35.34,0.0,0.0,0.65,weak_uptrend,0.5,0.5
1,2024-09-19 13:00:00,short,62814.47,63217.11,63190.7,0.124272,-56.73,9697.77,Sell,StopLoss,False,37.54,32.05,0.0,0.0,0.56,ranging,0.5,0.5
1,2024-09-19 16:30:00,long,63040.1,63506.4,62682.8,0.153615,63.32,9761.1,Buy,QuickProfit,False,15.78,42.06,0.0,0.0,0.65,weak_uptrend,0.5,2.5
1,2024-09-19 19:30:00,short,63499.77,63246.22,63892.29,0.119193,23.76,9784.86,Sell,RSIExtreme,False,51.73,24.11,0.0,0.0,0.57,ranging,0.5,2.5
1,2024-09-19 21:00:00,short,63206.64,62954.64,63793.85,0.139598,27.65,9812.5,StrongSell,ProfitTarget,False,22.5,27.62,0.0,0.0,0.78,weak_uptrend,0.5,1.0
1,2024-09-20 03:30:00,short,62965.38,63633.43,63606.84,0.073323,-52.95,9759.55,Sell,StopLoss,False,24.8,58.55,0.0,0.0,0.57,ranging,0.5,4.0
1,2024-09-20 12:00:00,long,63682.93,63426.23,63148.22,0.145809,-45.36,9714.19,Buy,StagnantExit,False,29.55,18.64,0.0,0.0,0.65,neutral,0.5,5.5
1,2024-09-20 13:30:00,short,63376.68,62838.51,63954.91,0.134205,64.98,9779.17,StrongSell,ProfitTarget,False,25.61,27.76,0.0,0.0,0.77,weak_uptrend,0.5,0.5
1,2024-09-20 19:30:00,short,62799.18,62788.8,63365.2,0.138023,-5.98,9773.2,StrongSell,StagnantExit,False,26.14,44.32,0.0,0.0,0.78,weak_uptrend,0.5,5.5
1,2024-09-21 01:30:00,short,62749.4,62833.81,63599.29,0.091864,-12.69,9760.51,StrongSell,StagnantExit,False,49.62,49.02,0.0,0.0,0.77,neutral,0.5,5.5
1,2024-09-23 14:00:00,long,63747.94,63599.68,63115.29,0.123247,-24.98,9735.52,StrongBuy,StagnantExit,False,38.91,59.38,0.0,0.0,0.76,weak_uptrend,0.5,8.0
1,2024-09-23 20:30:00,long,63390.03,63263.07,62926.63,0.153363,-27.78,9707.75,Buy,StagnantExit,False,61.63,80.4,0.0,0.0,0.51,neutral,0.5,5.5
1,2024-09-24 02:00:00,short,63311.8,62891.83,63993.79,0.113714,41.62,9749.37,StrongSell,QuickProfitTaken,False,84.5,73.96,0.0,0.0,0.76,neutral,0.5,4.5
1,2024-09-24 12:30:00,short,63213.99,63426.97,63837.4,0.129928,-34.71,9714.66,Sell,StagnantExit,False,63.33,38.97,0.0,0.0,0.54,strong_uptrend,0.5,6.0
1,2024-09-24 14:00:00,short,63386.64,62853.91,64003.32,0.075508,36.15,9750.8,Sell,ProfitTarget,False,38.01,42.12,0.0,0.0,0.6,ranging,0.5,1.0
1,2024-09-24 17:00:00,short,62814.38,63364.23,63337.76,0.148832,-89.86,9660.94,StrongSell,StopLoss,False,37.72,29.14,0.0,0.0,0.77,neutral,0.5,2.5
1,2024-09-24 19:30:00,short,63569.21,64173.25,64146.44,0.133701,-88.06,9572.88,StrongSell,StopLoss,False,30.74,21.97,0.0,0.0,0.77,neutral,0.5,1.0
2,2024-09-26 15:00:00,short,63800.42,64767.51,64740.45,0.081351,-83.15,9489.73,StrongSell,StopLoss,False,61.7,59.23,0.0,0.0,0.76,neutral,0.5,7.0
2,2024-09-26 19:30:00,short,65176.53,64695.01,65865.52,0.110026,46.87,9536.6,StrongSell,QuickProfit,False,49.96,46.04,0.0,0.0,0.76,weak_uptrend,0.5,3.5
2,2024-09-27 02:00:00,short,64654.52,64911.06,65474.82,0.092871,-28.97,9507.63,StrongSell,StagnantExit,False,51.79,74.12,0.0,0.0,0.76,weak_uptrend,0.5,6.0
2,2024-09-27 11:30:00,short,65307.29,65425.6,65942.9,0.119492,-20.82,9486.81,Sell,StagnantExit,False,45.3,75.72,0.0,0.0,0.52,strong_uptrend,0.5,5.5
2,2024-09-27 18:30:00,short,65686.52,65861.51,66488.41,0.094507,-21.85,9464.96,Sell,StagnantExit,False,63.29,13.8,0.0,0.0,0.56,strong_uptrend,0.5,5.5
2,2024-09-28 01:00:00,short,65725.93,65816.1,66544.1,0.044358,-6.5,9458.46,StrongSell,StagnantExit,False,19.87,37.38,0.0,0.0,0.78,ranging,1.0,5.5
2,2024-09-30 09:00:00,long,64507.87,64008.27,64035.04,0.14641,-81.19,9377.27,Buy,StopLoss,False,67.29,66.2,0.0,0.0,0.63,strong_uptrend,0.5,2.5
2,2024-09-30 12:30:00,long,63534.97,63995.67,63216.52,0.147374,59.86,9437.13,StrongBuy,QuickProfit,False,70.18,53.11,0.0,0.0,0.77,neutral,0.5,2.5
2,2024-09-30 18:00:00,long,63802.8,63281.64,63304.96,0.147694,-85.0,9352.13,StrongBuy,StopLoss,False,66.83,60.99,0.0,0.0,0.86,strong_uptrend,1.0,3.5
2,2024-09-30 19:00:00,long,63160.35,63410.36,62581.61,0.129083,25.29,9377.42,StrongBuy,ProfitTarget,False,65.69,65.51,0.0,0.0,0.86,strong_uptrend,0.93,0.5
2,2024-09-30 20:30:00,long,63442.56,63773.69,62821.41,0.120597,33.37,9410.79,StrongBuy,ProfitTarget,False,73.01,47.85,0.0,0.0,0.86,strong_uptrend,0.89,1.0
2,2024-09-30 23:30:00,long,63811.76,63315.63,63342.11,0.14726,-81.07,9329.73,Buy,StopLoss,False,47.76,43.52,0.0,0.0,0.69,strong_uptrend,0.5,2.5
2,2024-10-01 04:30:00,long,63331.79,63818.92,62946.38,0.147096,63.66,9393.38,Buy,QuickProfit,False,43.62,70.79,0.0,0.0,0.69,strong_uptrend,0.5,4.5
2,2024-10-01 06:30:00,long,63756.96,63988.78,63001.87,0.099374,17.61,9410.99,Buy,ProfitTarget,False,60.54,61.91,0.0,0.0,0.65,strong_uptrend,0.5,0.5
2,2024-10-01 13:30:00,long,64028.94,63185.23,63211.66,0.091984,-82.61,9328.38,Buy,StopLoss,False,63.9,70.38,0.0,0.0,0.69,strong_uptrend,0.5,6.5
2,2024-10-01 17:00:00,long,62861.52,62161.74,62187.74,0.110594,-83.31,9245.07,Buy,StopLoss,False,66.29,37.71,0.0,0.0,0.69,strong_uptrend,0.5,3.0
2,2024-10-01 20:00:00,long,62156.47,61650.89,61676.67,0.148516,-82.95,9162.12,StrongBuy,StopLoss,False,38.41,42.65,0.0,0.0,0.77,neutral,0.5,2.0
2,2024-10-01 21:30:00,long,60800.58,61097.74,60235.2,0.129445,31.72,9193.84,Buy,ProfitTarget,False,47.32,51.76,0.0,0.0,0.69,strong_uptrend,0.5,0.5
2,2024-10-02 00:30:00,long,60764.67,61000.77,60207.22,0.131743,24.25,9218.09,StrongBuy,ProfitTarget,False,55.52,61.04,0.0,0.0,0.77,weak_downtrend,0.5,1.5
2,2024-10-02 02:30:00,long,61387.27,61739.43,60691.83,0.143237,42.9,9260.99,StrongBuy,ProfitTarget,False,77.86,65.9,0.0,0.0,0.86,strong_uptrend,0.68,1.0
2,2024-10-02 13:30:00,long,61597.27,61304.39,60505.36,0.06775,-23.4,9237.59,Buy,StagnantExit,False,81.41,56.03,0.0,0.0,0.69,strong_uptrend,0.5,7.0
2,2024-10-02 15:00:00,long,61342.88,61677.39,60675.16,0.066306,18.69,9256.28,Buy,ProfitTarget,False,62.07,44.71,0.0,0.0,0.65,ranging,0.5,1.0
2,2024-10-02 16:00:00,long,61716.11,61993.51,61075.94,0.1155,25.93,9282.21,StrongBuy,ProfitTarget,False,44.74,48.92,0.0,0.0,0.77,neutral,0.5,0.5
2,2024-10-02 18:00:00,long,61796.14,61132.92,61158.48,0.116281,-83.23,9198.97,StrongBuy,StopLoss,False,46.68,51.51,0.0,0.0,0.77,neutral,0.5,1.0
2,2024-10-02 19:00:00,long,61177.07,60434.41,60459.69,0.061457,-48.84,9150.13,Buy,StopLoss,False,59.14,52.1,0.0,0.0,0.65,ranging,0.5,0.5
2,2024-10-03 02:30:00,long,60917.45,61139.33,60133.92,0.05597,9.5,9159.63,Buy,StagnantExit,False,68.07,73.54,0.0,0.0,0.58,ranging,0.5,5.5
2,2024-10-03 14:30:00,long,61168.77,60128.39,60092.27,0.067967,-74.24,9085.39,StrongBuy,EarlyLossExit,False,75.48,31.91,0.0,0.0,0.78,volatile,1.0,8.5
2,2024-10-03 15:30:00,long,60165.23,60590.38,59090.14,0.067503,25.21,9110.6,Buy,ProfitTarget,False,38.45,39.94,0.0,0.0,0.6,downtrend,0.5,0.5
2,2024-10-03 17:00:00,long,60212.32,60603.38,59091.07,0.064905,22.03,9132.63,Buy,ProfitTarget,False,51.12,49.48,0.0,0.0,0.55,downtrend,0.5,0.5
2,2024-10-03 19:30:00,long,60630.42,60981.77,59549.28,0.067475,20.2,9152.83,StrongBuy,ProfitTarget,False,59.7,77.64,0.0,0.0,0.78,downtrend,0.5,1.5
2,2024-10-04 01:30:00,long,60771.24,61177.72,59528.38,0.058825,20.84,9173.67,Buy,QuickProfitTaken,False,64.02,60.05,0.0,0.0,0.6,volatile,0.5,4.5
2,2024-10-04 11:30:00,long,61215.93,61406.66,60224.87,0.073939,10.22,9183.9,Buy,StagnantExit,False,59.59,44.33,0.0,0.0,0.65,volatile,0.5,5.5
2,2024-10-04 16:30:00,long,61575.06,62188.56,60891.77,0.064418,36.11,9220.01,Buy,QuickProfit,False,35.0,20.26,0.0,0.0,0.65,ranging,0.5,4.0
2,2024-10-04 18:30:00,long,62033.36,62298.72,61307.08,0.060843,12.91,9232.92,Buy,ProfitTarget,False,38.2,44.35,0.0,0.0,0.64,ranging,0.5,1.0
2,2024-10-05 02:30:00,short,62314.76,61798.83,63233.07,0.082241,38.06,9270.98,StrongSell,QuickProfit,False,31.31,36.18,0.0,0.0,0.78,weak_uptrend,0.5,6.5
3,2024-10-07 06:30:00,long,63373.2,63650.17,62682.75,0.131799,29.35,9300.33,StrongBuy,ProfitTarget,False,37.37,34.27,0.0,0.0,0.78,uptrend,0.5,0.5
3,2024-10-07 10:00:00,long,63604.16,63033.02,63059.38,0.146004,-91.3,9209.03,Buy,StopLoss,False,41.56,43.36,0.0,0.0,0.6,ranging,0.5,1.5
3,2024-10-07 13:30:00,long,62978.16,63413.13,62495.82,0.146006,55.62,9264.65,StrongBuy,QuickProfit,False,48.75,50.66,0.0,0.0,0.78,weak_uptrend,0.5,3.0
3,2024-10-07 15:00:00,short,64141.9,63748.25,64466.62,0.144224,48.89,9313.53,StrongSell,ProfitTarget,False,45.0,41.34,0.0,0.0,0.78,weak_uptrend,0.5,0.5
3,2024-10-07 18:30:00,short,63596.35,62831.91,63889.65,0.14623,103.88,9417.41,Sell,ProfitTarget,False,50.05,51.77,0.0,0.0,0.56,ranging,0.5,2.5
3,2024-10-07 22:30:00,long,63206.22,62857.55,62883.84,0.148776,-59.89,9357.52,Buy,StopLoss,False,71.13,83.69,0.0,0.0,0.59,ranging,0.5,3.0
3,2024-10-08 04:30:00,long,62452.98,62649.63,61847.86,0.112399,16.09,9373.61,Buy,StagnantExit,False,78.9,34.98,0.0,0.0,0.65,ranging,0.5,5.5
3,2024-10-08 11:30:00,long,62523.28,62579.05,62001.06,0.133061,0.3,9373.91,Buy,StagnantExit,False,46.77,31.14,0.0,0.0,0.58,ranging,0.5,5.5
3,2024-10-08 13:30:00,long,62618.34,62990.94,62213.91,0.149478,47.67,9421.58,StrongBuy,ProfitTarget,False,28.92,34.15,0.0,0.0,0.78,neutral,0.5,1.5
3,2024-10-08 16:30:00,long,62283.03,62520.67,61864.75,0.151048,27.83,9449.41,Buy,ProfitTarget,False,45.75,44.42,0.0,0.0,0.57,ranging,0.5,0.5
3,2024-10-08 23:30:00,long,62280.91,62115.17,61916.86,0.1515,-33.17,9416.25,StrongBuy,StagnantExit,False,52.24,57.6,0.0,0.0,0.78,neutral,0.5,6.0
3,2024-10-09 01:30:00,long,62154.17,62365.71,60945.17,0.107841,17.07,9433.32,StrongBuy,ProfitTarget,False,65.82,61.11,0.0,0.0,0.78,neutral,0.5,1.5
3,2024-10-09 15:00:00,long,62427.57,62260.83,61604.25,0.150886,-33.2,9400.11,StrongBuy,StagnantExit,False,47.59,30.27,0.0,0.0,0.78,neutral,0.5,8.0
3,2024-10-09 17:00:00,long,62300.25,61730.11,61755.92,0.132432,-82.53,9317.58,Buy,StopLoss,False,36.52,50.13,0.0,0.0,0.62,ranging,0.5,1.5
3,2024-10-10 01:30:00,long,60956.5,60758.03,60213.76,0.106624,-26.71,9290.87,Buy,StagnantExit,False,49.64,70.69,0.0,0.0,0.56,strong_downtrend,0.5,6.0
3,2024-10-10 12:00:00,long,60931.41,61224.21,60182.63,0.059994,14.43,9305.3,Buy,QuickProfitTaken,False,45.26,34.73,0.0,0.0,0.6,ranging,0.5,6.0
3,2024-10-10 17:30:00,long,61263.28,60103.56,60128.69,0.115305,-139.71,9165.59,StrongBuy,StopLoss,False,36.58,42.55,0.0,0.0,0.58,neutral,0.5,5.0
3,2024-10-10 19:00:00,long,59070.88,59492.17,58600.44,0.154928,57.42,9223.01,StrongBuy,ProfitTarget,False,39.89,38.05,0.0,0.0,0.59,weak_downtrend,0.5,0.5
3,2024-10-10 21:30:00,long,59675.9,60156.49,59212.86,0.154319,66.26,9289.27,StrongBuy,ProfitTarget,False,65.65,51.0,0.0,0.0,0.58,weak_downtrend,0.5,1.0
3,2024-10-11 03:00:00,long,60263.17,60634.67,59839.28,0.153915,49.22,9338.49,StrongBuy,QuickProfit,False,55.89,58.4,0.0,0.0,0.49,weak_downtrend,0.5,3.5
3,2024-10-11 09:30:00,long,60587.28,61031.06,60136.41,0.153904,60.3,9398.79,Buy,QuickProfit,False,62.87,35.09,0.0,0.0,0.6,ranging,0.5,3.5
3,2024-10-11 13:30:00,long,61009.72,61633.5,60171.02,0.153827,87.89,9486.68,Buy,ProfitTarget,False,26.18,29.98,0.0,0.0,0.56,strong_downtrend,0.5,3.0
3,2024-10-11 15:00:00,long,61757.87,62114.67,60615.53,0.153386,46.6,9533.29,StrongBuy,ProfitTarget,False,33.19,42.5,0.0,0.0,0.58,strong_downtrend,1.0,0.5
3,2024-10-11 17:30:00,long,62237.98,62864.46,61085.52,0.152952,87.64,9620.93,StrongBuy,ProfitTarget,False,37.53,66.43,0.0,0.0,0.54,strong_downtrend,0.9,1.5
3,2024-10-11 19:00:00,long,62723.13,62986.9,61946.05,0.153166,32.17,9653.09,StrongBuy,ProfitTarget,False,68.6,70.69,0.0,0.0,0.53,strong_downtrend,0.83,0.5
3,2024-10-12 04:00:00,long,62987.49,62606.14,62414.63,0.153034,-66.58,9586.51,Buy,StagnantExit,False,70.91,49.79,0.0,0.0,0.54,strong_downtrend,0.5,7.5
